OBJECTID,GEOID10,WCCDistrict,DPDPrecinct,DETCouncilDist
690,26163538700,5,12,2
691,26163538600,5,12,2
692,26163538500,5,12,2
693,26163538400,5,12,2
694,26163538300,5,12,2
695,26163538200,5,12,2
696,26163538100,5,12,2
697,26163537800,6,2,1
698,26163537700,6,2,1
699,26163537600,6,2,1
700,26163537500,6,2,1
701,26163537300,7,2,1
702,26163537200,6,2,7
719,26163579100,15,,
720,26163586300,11,,
721,26163566500,11,,
722,26163579200,15,,
723,26163587000,11,,
724,26163579300,15,,
725,26163577100,4,,
726,26163556500,9,,
727,26163569300,12,,
728,26163557500,9,,
729,26163557900,9,,
730,26163557300,9,,
731,26163554700,8,,
732,26163558300,9,,
733,26163559100,8,,
734,26163557400,9,,
735,26163537100,6,2,2
736,26163537000,6,12,2
737,26163536900,6,12,2
738,26163536800,5,12,2
739,26163536700,5,2,2
740,26163536600,5,10,7
741,26163536500,5,10,7
742,26163536400,5,10,7
743,26163536300,5,12,2
744,26163536200,5,12,2
745,26163536100,5,12,2
746,26163535700,7,2,7
747,26163535600,7,2,7
748,26163535500,7,2,7
755,26163588300,11,,
756,26163590400,11,,
757,26163563600,10,,
758,26163563800,10,,
759,26163564300,10,,
760,26163587900,11,,
761,26163564200,10,,
762,26163565000,10,,
763,26163565100,12,,
764,26163558500,9,,
765,26163565300,12,,
766,26163583900,14,,
767,26163565200,12,,
768,26163562900,10,,
769,26163563200,10,,
770,26163566700,11,,
771,26163588000,11,,
772,26163585800,11,,
773,26163570600,12,,
774,26163535400,7,2,7
775,26163535300,7,2,7
776,26163535200,7,2,7
777,26163535100,7,2,7
778,26163535000,7,2,7
779,26163534700,7,2,7
780,26163534600,7,2,6
781,26163534500,7,2,6
782,26163534400,7,2,7
783,26163534300,7,2,7
784,26163534200,5,2,7
785,26163534100,5,10,7
786,26163533700,7,10,6
789,26163563900,10,,
790,26163564000,10,,
791,26163564100,10,,
792,26163582000,15,,
793,26163580700,15,,
794,26163586200,11,,
795,26163556100,9,,
796,26163570800,12,,
868,26163588400,11,,
869,26163558400,9,,
870,26163558600,9,,
871,26163554100,8,,
872,26163558800,9,,
873,26163565600,11,,
874,26163558900,9,,
875,26163584800,14,,
876,26163555300,8,,
877,26163588200,11,,
878,26163569500,12,,
879,26163533600,7,10,6
880,26163533500,7,10,6
881,26163533400,2,10,5
882,26163533300,2,10,5
883,26163533200,2,10,5
884,26163533100,2,10,5
885,26163533000,2,10,5
886,26163532700,2,10,5
887,26163532600,2,10,5
888,26163532400,2,3,5
889,26163532300,2,10,5
890,26163532200,2,10,5
891,26163531900,5,10,5
892,26163531800,5,10,5
893,26163531700,5,10,2
894,26163531600,5,10,2
916,26163588100,11,,
917,26163554800,8,,
918,26163568200,12,,
919,26163568400,12,,
920,26163573800,13,,
921,26163575600,13,,
922,26163573400,13,,
923,26163574000,13,,
924,26163573300,13,,
925,26163573500,13,,
926,26163594500,15,,
927,26163567000,11,,
928,26163554500,8,,
929,26163554400,8,,
930,26163555100,8,,
931,26163555500,8,,
932,26163555600,8,,
933,26163557600,9,,
934,26163566800,11,,
935,26163557700,9,,
936,26163556600,9,,
937,26163594400,15,,
938,26163531500,5,10,5
939,26163531400,5,10,5
940,26163531300,2,10,5
941,26163531200,2,10,5
942,26163531100,5,10,5
943,26163530800,5,10,7
944,26163530500,5,10,7
945,26163530400,5,10,2
946,26163530300,5,10,2
947,26163530200,5,12,2
948,26163530100,5,12,2
949,26163526400,4,4,6
950,26163526300,4,4,6
951,26163526200,4,4,6
952,26163526100,4,4,6
965,26163583400,14,,
966,26163583300,14,,
967,26163576000,13,,
968,26163572000,8,,
969,26163574100,13,,
970,26163583500,14,,
971,26163561900,10,,
972,26163584300,14,,
973,26163572800,8,,
974,26163572600,8,,
975,26163566900,11,,
976,26163985400,11,,
977,26163591700,14,,
978,26163585900,11,,
979,26163585600,11,,
980,26163596200,15,,
981,26163581600,15,,
982,26163581100,15,,
983,26163526000,4,4,6
984,26163525800,4,4,6
985,26163525700,4,4,6
986,26163525600,4,4,6
987,26163525500,4,4,6
988,26163525400,4,4,6
989,26163527300,7,10,6
990,26163527200,7,10,6
991,26163524700,4,4,6
992,26163524500,4,4,6
993,26163524300,4,4,6
1000,26163583100,14,,
1001,26163575400,13,,
